text,label
OMG!!! I love this sooo much 😍🔥 #awesome,positive
Worst product ever!!! broke in 2 days 😡💔,negative
meh it's okay i guess 🤷‍♂️,neutral
@shop totally loved it!! will buy again 😍😍,positive
this is baaad quality man 😤 #waste,negative
not good not bad just fine 🙂,neutral
Soooo happy with this purchase 😄💖,positive
terrible service!!! never coming back 😠😠,negative
it works... nothing special tho 🤨,neutral
best thing i bought this year 🔥🔥🔥,positive
do NOT buy this crap 😡❌,negative
it's okay for daily use 👍,neutral
i really really love this 😍😍😍,positive
worst experience everrrr 😤💔,negative
hmm its fine i guess 😐,neutral
this made my day 😄✨,positive
i hate this soooo much 😡😡,negative
average product nothing wow 😶,neutral
absolutely amazingggg 😍🔥🔥,positive
bad packaging n poor quality 😒,negative
it's decent not great not bad 🤷,neutral
feeling awesome after using this 😎,positive
very disappointing experience 😞,negative
idk it's just okay 🤔,neutral
love it!!! super cool 😍🔥,positive
completely useless 😡❌,negative
works fine no issues 👍,neutral
fantastic product fast delivery 🚀😍,positive
cheap quality broke quickly 😤,negative
it's acceptable i guess 😐,neutral
i'm so happy rn 😄💖,positive
worst purchase everrr 😡💔,negative
meh nothing special 🤷‍♀️,neutral
highly recommend this 🔥🔥,positive
not worth the money 😒,negative
just normal stuff 😶,neutral
really loved this product 😍,positive
very very bad 😤😤,negative
neutral feeling about this 🤔,neutral
this is lit 🔥🔥🔥 loved it,positive
awful experience do not try 😡,negative
okayish nothing great 🤷,neutral
soo good sooo happy 😄💖,positive
hate it completely 😠💔,negative
fine nothing much to say 😐,neutral
excellent quality 💯😍,positive
terrible and frustrating 😤😡,negative
just okay nothing wow 🤔,neutral
super happy with this 😄🔥,positive
worst thing i bought 😡❌,negative
